Personaje,Raza,Nivel de Poder,Altura (m),Peso (kg),Personalidad / Rol Principal
Goku,Saiyajin,85000000,1.75,62,"Heroico, persistente, amante de la pelea"
Vegeta,Saiyajin,83000000,1.64,56,"Orgulloso, serio, leal"
Gohan,Saiyajin-humano,80000000,1.76,61,"Intelectual, protector, reservado"
Piccolo,Namekiano,55000000,2.26,116,"Sabio, estratégico, mentor de Gohan"
Krilin,Humano,500000,1.53,45,"Valiente, leal, cómico"
Trunks,Saiyajin-humano,30000000,1.7,60,"Determinado, rebelde, protector"
Goten,Saiyajin-humano,15000000,1.55,48,"Alegre, despreocupado"
Freezer,Desconocida,90000000,1.53,52,"Cruel, manipulador, ambicioso"
Cell,Bioandroide,20000000,2.4,150,"Frío, calculador, narcisista"
Majin Buu,Majin,30000000,2.0,140,"Cambiante, infantil/brutal"
Android 18,Humana modificada,1500000,1.69,48,"Seria, sarcástica, poderosa"
Android 17,Humano modificado,70000000,1.7,60,"Independiente, protector de la naturaleza"
Beerus,Dios destrucción,95000000,1.78,30,"Impredecible, poderoso"
Whis,Ángel,100000000,1.9,70,"Tranquilo, sabio, mentor"
Broly,Saiyajin,95000000,2.3,180,"Salvaje, emocional, poderoso"
Jiren,Desconocida,97000000,1.9,100,"Estoico, disciplinado, justo"
Kale,Saiyajin,40000000,1.65,55,"Tímida, descontrolada"
Caulifla,Saiyajin,25000000,1.6,50,"Rebelde, confiada"
Zamasu,Kaioshin,75000000,1.75,60,"Extremista, fanático"
Goku Black,Saiyajin (Zamasu),80000000,1.75,62,"Malvado, elegante, cruel"
